date,MOEX,MOEXBC,RTSI,USD,EUR,BRENT,y_0_25,y_0_5,y_0_75,y_1,y_2,y_3,y_5,y_7,y_10,y_15,y_20,y_30
2021-01-12,3471.65,22899.91,1484.96,74.5157,90.8123,56.58000183105469,4.16,4.18,4.23,4.29,4.63,4.99,5.58,5.99,6.38,6.73,6.91,7.07
2021-01-13,3470.26,22925.91,1486.77,74.2663,90.3227,56.060001373291016,4.2,4.23,4.29,4.35,4.67,5.01,5.58,5.98,6.39,6.76,6.95,7.13
2021-01-14,3490.85,23017.13,1500.58,73.5264,89.7831,56.41999816894531,4.17,4.22,4.28,4.36,4.73,5.09,5.67,6.07,6.47,6.85,7.04,7.22
2021-01-19,3443.23,22567.45,1470.63,73.9735,89.3304,55.900001525878906,4.09,4.15,4.23,4.31,4.7,5.08,5.67,6.07,6.46,6.82,7.01,7.17
2021-01-20,3466.8,22743.47,1486.9,73.7243,89.2064,56.08000183105469,4.13,4.16,4.21,4.29,4.68,5.08,5.71,6.11,6.5,6.84,7.02,7.18
2021-01-21,3422.67,22444.48,1463.84,73.355,89.1483,56.099998474121094,4.12,4.16,4.22,4.3,4.72,5.16,5.81,6.23,6.63,6.98,7.15,7.29
2021-01-26,3390.76,22166.01,1422.95,74.8569,91.1458,55.90999984741211,4.19,4.22,4.28,4.35,4.75,5.16,5.81,6.23,6.62,6.95,7.11,7.26
2021-01-27,3343.62,21850.36,1393.02,75.6354,91.6701,55.810001373291016,4.26,4.28,4.32,4.39,4.76,5.16,5.79,6.22,6.61,6.97,7.14,7.3
2021-01-28,3342.01,21854.25,1384.64,75.04,91.2186,55.529998779296875,4.22,4.24,4.28,4.35,4.74,5.15,5.78,6.2,6.59,6.93,7.11,7.26
2021-02-02,3360.25,21938.89,1398.99,75.5053,91.5426,57.459999084472656,4.16,4.2,4.27,4.36,4.77,5.18,5.82,6.25,6.67,7.04,7.22,7.39
2021-02-03,3343.46,21826.48,1387.0,75.9051,91.625,58.459999084472656,4.19,4.23,4.3,4.38,4.77,5.16,5.78,6.21,6.65,7.04,7.23,7.41
2021-02-04,3372.0,22043.57,1402.71,76.0801,91.5624,58.84000015258789,4.16,4.21,4.28,4.36,4.73,5.11,5.7,6.13,6.55,6.93,7.13,7.32
2021-02-09,3426.86,22354.42,1457.87,74.2602,89.4019,61.09000015258789,4.3,4.31,4.36,4.42,4.8,5.2,5.81,6.22,6.63,7.0,7.17,7.33
2021-02-10,3399.66,22164.98,1448.31,74.1192,89.5286,61.470001220703125,4.39,4.4,4.44,4.5,4.86,5.26,5.88,6.31,6.72,7.07,7.24,7.4
2021-02-11,3414.32,22277.6,1461.33,73.8526,89.5684,61.13999938964844,4.45,4.48,4.53,4.61,4.99,5.38,5.99,6.4,6.79,7.13,7.3,7.45
2021-02-16,3495.26,22881.29,1494.58,73.3092,88.9754,63.349998474121094,4.62,4.65,4.71,4.78,5.16,5.58,6.22,6.61,6.97,7.27,7.41,7.56
